feature,importance
src_bytes,0.13921788277736102
count,0.13781014149453405
same_srv_rate,0.1348793447385878
flag,0.1235472763698803
diff_srv_rate,0.09706427349754379
dst_host_same_srv_rate,0.06270275787087476
srv_serror_rate,0.04178620873236176
dst_host_srv_serror_rate,0.04168574464659591
dst_host_serror_rate,0.04073112538162836
dst_host_srv_count,0.04014532764690921
dst_bytes,0.033917964738793445
service,0.03198596614449602
serror_rate,0.027777012283603533
dst_host_rerror_rate,0.01074972802930642
srv_rerror_rate,0.010740647100336512
dst_host_diff_srv_rate,0.008087280988318388
dst_host_same_src_port_rate,0.006385909255634085
rerror_rate,0.0042620665869359305
dst_host_srv_diff_host_rate,0.0020133590593589715
srv_count,0.001655848805986459
dst_host_srv_rerror_rate,0.0014851010688939105
logged_in,0.000544934187721625
protocol_type,0.00037710855293268745
srv_diff_host_rate,0.00033777475150798355
dst_host_count,0.00010921528989723459
urgent,0.0
wrong_fragment,0.0
land,0.0
duration,0.0
is_guest_login,0.0
num_access_files,0.0
num_outbound_cmds,0.0
is_host_login,0.0
num_compromised,0.0
num_failed_logins,0.0
hot,0.0
root_shell,0.0
num_shells,0.0
su_attempted,0.0
num_root,0.0
num_file_creations,0.0
